Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Eloy Jiménez","TBR",103,397,365,93,64,17,0,12,36,46,28,12,81,2,2,0,1,1,0,0.254795,0.070529,0.20403,0.345679,0.309824,0.4,0.298226,0.709824,0.145205,1.77369,0.29562,,-0.447179,42.6208,-3.81946,97.6189,-0.447179,0,-1.528819352388382,-10.210905075073242,0.154346,999,,,,,,,409.8,3.978640776,409.8,3.978640776,,,,,,,,,,,,,,,,,,,"Eloy Jimenez","17484",650391
"Jerar Encarnacion","SFG",99,406,369,90,59,15,1,15,44,58,33,8,130,2,2,0,0,3,1,0.243902,0.0812808,0.320197,0.253846,0.307882,0.411924,0.306132,0.719806,0.168022,3.42661,0.331858,,-0.483755,46.1705,-1.32262,97.6811,-0.483755,0,-1.6095833480358124,-10.442386627197266,0.151636,999,,,,,,,433.1,4.374747474,433.1,4.374747474,,,,,,,,,,,,,,,,,,,"Jerar Encarnacion","21871",666464
"Michael Toglia","COL",127,527,467,109,63,20,3,23,66,72,55,9,151,2,3,0,1,6,2,0.233405,0.104364,0.286528,0.364238,0.314991,0.436831,0.319861,0.751821,0.203426,4.51255,0.290541,,-0.486072,65.7541,4.10661,91.8497,-0.486072,-0.8,-5.622291654348373,-10.48180466890335,0.149291,999,,,,,,,611.5,4.814960629,611.5,4.814960629,,,,,,,,,,,,,,,,,,,"Michael Toglia","25845",669911
"Loidel Chapelli","CHW",98,412,373,82,58,15,4,5,47,39,32,5,112,4,2,1,0,10,4,0.219839,0.0776699,0.271845,0.285714,0.287105,0.321716,0.266135,0.60882,0.101877,6.14816,0.29845,,-0.322451,33.5899,-14.605,70.4844,-0.322451,0.4,-14.236530870199203,1.9138154089450836,0.145779,999,,,,,,,315.3,3.217346938,315.3,3.217346938,,,,,,,,,,,,,,,,,,,"Loidel Chapelli","sa3019400",703070
"Jose Iglesias",,85,325,305,77,57,15,1,4,34,29,14,7,58,4,2,0,0,2,1,0.252459,0.0430769,0.178462,0.241379,0.292308,0.347541,0.272224,0.639849,0.095082,3.68301,0.297959,,-0.541691,28.0896,-9.92826,76.4056,-0.541691,-0.9,-9.711343109607697,0.2941504716873169,0.145171,999,,,,,,,268,3.152941176,268,3.152941176,,,,,,,,,,,,,,,,,,,"Jose Iglesias","10231",578428
"Jose Sibrian",,62,227,208,41,29,9,0,3,20,23,11,10,58,7,1,0,0,1,0,0.197115,0.0484582,0.255507,0.189655,0.259912,0.283654,0.224603,0.543566,0.0865385,3.03405,0.256757,,-0.0920196,10.9191,-15.635,40.4679,-0.0920196,5.9,-16.25190121680498,10.070341110229492,0.142293,999,,,,,,,131.8,2.125806451,131.8,2.125806451,,,,,,,,,,,,,,,,,,,"Jose Sibrian","sa917196",665715
"Victor Arias","TOR",95,395,352,78,51,16,2,9,48,50,31,6,94,11,1,0,1,9,6,0.221591,0.078481,0.237975,0.329787,0.303797,0.355114,0.287442,0.658911,0.133523,5.38855,0.276,,-1.31668,38.9779,-7.22845,87.3315,-1.31668,-0.4,-7.042362332344055,-4.754056364297867,0.141605,999,,,,,,,353.5,3.721052631,353.5,3.721052631,,,,,,,,,,,,,,,,,,,"Victor Arias","sa3015636",692478
"Matthew Wood","MIL",94,399,354,73,57,12,1,3,27,33,37,5,74,6,2,0,1,1,1,0.206215,0.0927318,0.185464,0.5,0.290727,0.271186,0.252342,0.561913,0.0649718,2.048,0.250896,,-0.954787,28.1007,-18.5736,59.1382,-0.954787,1.2,-20.451040506362915,8.53024697303772,0.141109,999,,,,,,,251.6,2.676595744,251.6,2.676595744,,,,,,,,,,,,,,,,,,,"Matthew Wood","sa3019924",687783
"Javier Báez","DET",95,369,345,77,53,14,1,9,39,40,17,9,97,5,2,0,1,7,1,0.223188,0.0460705,0.262873,0.175258,0.268293,0.347826,0.259565,0.616119,0.124638,5.13231,0.282158,,0.474094,28.1328,-15.0321,67.5646,0.474094,-1.8,-13.220557868480682,2.267460584640503,0.139189,999,,,,,,,293.6,3.090526315,293.6,3.090526315,,,,,,,,,,,,,,,,,,,"Javier Baez","12979",595879
"Ben Gobbel","LAA",100,404,376,86,60,14,1,11,45,48,19,8,101,7,1,1,0,7,3,0.228723,0.0470297,0.25,0.188119,0.277916,0.359043,0.271449,0.636958,0.130319,4.47154,0.283019,,-0.430628,34.6655,-12.5936,72.9614,-0.430628,-0.7,-12.929509490728378,0.784420907497406,0.136581,999,,,,,,,338.2,3.382,338.2,3.382,,,,,,,,,,,,,,,,,,,"Ben Gobbel","sa3019870",806534
