event,pitcher_hand,batter_hand,balls,strikes,delta_run_exp
single,R,L,2,1,0.436560945
single,R,L,2,2,0.506305017
single,R,L,3,0,0.348887097
single,R,L,3,1,0.349008982
single,R,L,3,2,0.409082645
strikeout,R,L,0,2,-0.170912246
strikeout,R,L,1,2,-0.190443616
strikeout,R,L,2,2,-0.226139049
strikeout,R,L,3,2,-0.311725656
swinging_strike,R,L,0,0,-0.042567554
swinging_strike,R,L,0,1,-0.056472118
swinging_strike,R,L,1,0,-0.050102428
swinging_strike,R,L,1,1,-0.060386317
swinging_strike,R,L,2,0,-0.060952909
swinging_strike,R,L,2,1,-0.071124004
swinging_strike,R,L,3,0,-0.068933962
swinging_strike,R,L,3,1,-0.08174665
triple,R,L,0,0,1.079565217
triple,R,L,0,1,1.0795
triple,R,L,0,2,1.172456522
triple,R,L,1,0,0.95803125
triple,R,L,1,1,1.086243243
triple,R,L,1,2,1.179736842
triple,R,L,2,0,0.903736842
triple,R,L,2,1,0.97712069
triple,R,L,2,2,0.974275
triple,R,L,3,0,0.349
triple,R,L,3,1,0.967454545
triple,R,L,3,2,0.835338983
walk,R,L,3,0,0.131460484
walk,R,L,3,1,0.19095823
walk,R,L,3,2,0.27080134
