Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Mike Ford","ATL",1,,,,,,,,,,51.8,84.7,41.559999999999995,"Mike Ford",15585,645801
"Yu Chang","TBR",2,,,,,,48.84,,,,54.5584,77.51199999999999,40.78,"Yu Chang",14773,644374
"Frank Schwindel","CHC",3,,,,,,,,,,33.93047619047619,96.2552380952381,40.69285714285714,"Frank Schwindel",15351,643524
"Willians Astudillo","MIA",2,,,,,,,,,,60.82782608695652,70.70695652173914,38.53739130434783,"Willians Astudillo",15608,553902
"Brett Phillips","TBR",4,,,,,,,,,,10.398620689655163,107.9503448275862,36.34655172413793,"Brett Phillips",14735,621433
"Hunter Dozier","KCR",1,,,,,48.48,,,,,48.48,83.88,34.900000000000006,"Hunter Dozier",15117,641531
"Josh Harrison","CHW",3,,,,,,-32.97333333333332,,,,41.690877192982455,94.35894736842107,32.873333333333335,"Josh Harrison",8202,543281
"Chris Owings","BAL",1,,,,,,,,,,3.2600000000000096,116.84200000000001,29.03,"Chris Owings",10030,572008
"Brian Serven","COL",1,,,,,,,,,,63.48,43.84,28.28,"Brian Serven",19422,661531
"Andrelton Simmons","CHC",1,,,,,,43.4,,,,20.266399999999997,94.72319999999999,26.881600000000002,"Andrelton Simmons",10847,592743
"Diego A. Castillo","PIT",2,,,,,,,,,,55.90666666666666,68.90833333333333,24.76666666666667,"Diego A. Castillo",19906,660636
"Franmil Reyes","CHC",1,52.66,45.42,,,,85.94,71.34,,,66.064,38.034000000000006,18.369999999999983,"Franmil Reyes",14566,614177
"Orlando Arcia","ATL",1,,,,,,,,,,56.496,72.8,17.676,"Orlando Arcia",13185,606115
"Jackie Bradley Jr.","BOS",1,,,,,,,,,,67.12,37.92000000000001,11.684000000000005,"Jackie Bradley Jr.",12984,598265
"Dee Strange-Gordon","WSN",1,,,,,,,,,,55.42,44.24,8.420000000000002,"Dee Strange-Gordon",8203,543829
"Ehire Adrianza","WSN",1,,,,,,,,,,54.64000000000001,55.76,7.200000000000003,"Ehire Adrianza",8418,501303
"Chad Pinder","OAK",1,,,,,,,,,,70.44,38.66,3.640000000000015,"Chad Pinder",15191,640461
"Alcides Escobar","WSN",1.2,,,,,,37.62307692307692,,,,36.365833333333335,46.24166666666667,-4.874999999999993,"Alcides Escobar",6310,444876
"Victor Caratini","MIL",1,,,,,,,,,,45.9,33,-5.780000000000001,"Victor Caratini",14968,605170
"Whit Merrifield","TOR",1,,,,,,-208.09999999999997,,,,-26.32769230769231,53.32000000000001,-83.72615384615385,"Whit Merrifield",11281,593160
