Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Sean Murphy","ATL",102,400,349,81,47,18,1,15,43,52,39,11,97,10,2,0,1,0,0,0.232092,0.0975,0.2425,0.402062,0.325,0.418338,0.315815,0.743338,0.186246,1.93452,0.276151,,-0.670856,48.6057,1.8145,101.039,-0.670856,5.5,-0.17393019795417786,12.848618507385254,2.68471,999,,,,,,,450.5,4.416666666,450.5,4.416666666,,,,,,,,,,,,,,,,,,,"Sean Murphy","19352",669221
"Bo Bichette","TOR",128,551,515,143,99,28,1,15,67,68,31,14,104,3,2,0,1,9,2,0.27767,0.0562613,0.188748,0.298077,0.321234,0.423301,0.314011,0.744535,0.145631,4.33029,0.321608,,0.0507889,66.1542,1.69923,106.02,0.0507889,-2.3,3.846279926598072,3.7736332416534424,2.68396,999,,,,,,,627.2,4.9,627.2,4.9,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"Manny Machado","SDP",134,571,520,134,86,26,0,22,68,83,45,17,111,1,5,0,5,7,1,0.257692,0.0788091,0.194396,0.405405,0.315236,0.434615,0.313267,0.749852,0.176923,3.44959,0.285714,,0.087365,68.2137,1.41923,104.194,0.087365,1.9,2.9508212879300117,3.9980305433273315,2.68147,999,,,,,,,661.1,4.933582089,661.1,4.933582089,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Zack Gelof","ATH",130,551,499,119,72,25,2,20,68,68,44,11,166,3,3,2,1,22,3,0.238477,0.0798548,0.30127,0.26506,0.302368,0.416834,0.304681,0.719202,0.178357,6.06922,0.313291,,2.3326,62.0165,-2.43837,102.08,2.3326,1.9,3.6436785459518433,3.9245444536209106,2.67862,999,,,,,,,613.7,4.72076923,613.7,4.72076923,,,,,,,,,,,,,,,,,,,"Zack Gelof","29766",680869
"Lawrence Butler","ATH",137,551,500,126,77,26,2,21,76,73,46,10,132,1,4,0,1,16,2,0.252,0.0834846,0.239564,0.348485,0.313975,0.438,0.318406,0.751975,0.186,5.60651,0.299145,,1.49025,68.1036,3.64865,111.734,1.49025,4.7,8.888355731964111,-1.3736333847045898,2.6731,999,,,,,,,655.6,4.785401459,655.6,4.785401459,,,,,,,,,,,,,,,,,,,"Lawrence Butler","22542",671732
"Luis Robert Jr.","CHW",119,494,455,114,68,25,0,21,63,66,30,8,135,7,2,0,3,18,4,0.250549,0.0607287,0.273279,0.222222,0.305668,0.443956,0.318028,0.749624,0.193407,4.88782,0.30897,,1.21441,60.9079,3.12069,106.987,1.21441,2.4,5.163587689399719,4.215108871459961,2.66936,999,,,,,,,587.3,4.935294117,587.3,4.935294117,,,,,,,,,,,,,,,,,,,"Luis Robert Jr.","20043",673357
"Josh Smith","TEX",137,515,448,109,72,23,2,12,62,56,46,6,104,16,3,2,1,9,3,0.243304,0.0893204,0.201942,0.442308,0.333333,0.383929,0.314002,0.717262,0.140625,4.91302,0.289552,,-0.425249,61.8282,1.58452,104.683,-0.425249,4.3,2.334473669528961,6.192269444465637,2.65367,999,,,,,,,548,4,548,4,,,,,,,,,,,,,,,,,,,"Josh Smith","26396",669701
"Logan O'Hoppe","LAA",123,493,439,108,69,15,1,23,61,64,42,7,124,9,2,1,1,2,2,0.246014,0.0851927,0.251521,0.33871,0.323171,0.441913,0.327808,0.765084,0.1959,2.7124,0.289116,,-1.30186,64.6654,6.99519,112.606,-1.30186,-5.8,5.808983325958252,3.257171630859375,2.63364,999,,,,,,,582.4,4.734959349,582.4,4.734959349,,,,,,,,,,,,,,,,,,,"Logan O'Hoppe","24729",681351
"Brenton Doyle","COL",134,533,487,124,80,21,4,19,71,70,35,12,148,4,4,3,1,20,4,0.25462,0.065666,0.277674,0.236486,0.307547,0.431212,0.310643,0.738759,0.176591,6.57818,0.324074,,1.53549,62.5485,0.199168,85.6458,1.53549,13.4,-7.613404273986816,15.3584064245224,2.63301,999,,,,,,,613.5,4.578358208,613.5,4.578358208,,,,,,,,,,,,,,,,,,,"Brenton Doyle","25479",686668
"Shea Langeliers","ATH",130,505,459,108,60,20,2,26,59,76,39,11,134,4,3,0,2,3,1,0.235294,0.0772277,0.265347,0.291045,0.29901,0.457516,0.31708,0.756526,0.222222,3.59018,0.271523,,-0.531109,61.879,2.80507,110.802,-0.531109,-6.4,5.710386335849762,2.8776307106018066,2.62557,999,,,,,,,591.5,4.55,591.5,4.55,,,,,,,,,,,,,,,,,,,"Shea Langeliers","25816",669127
